Model,R²,RMSE,MAE,CV R² Mean
XGBoost,0.9024,2.287100076675415,0.9031999707221985,0.9013
LightGBM,0.9024,2.2869,0.901,0.9017
Gradient Boosting,0.9008,2.3057,0.8399,0.9002
Random Forest,0.8985,2.3319,0.8781,0.8983
